trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.99}",25,0,-171.939457202176,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.4, 'e': 0.98}",25,0,-82.95377272570848,"{0: 16, 1: 3, 2: 3, 3: 3, 4: 0}",0
3,False,"{'a': 0.4, 'e': 0.97}",25,0,-115.4146758129929,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.4, 'e': 0.96}",20,0,-166.80138061449682,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
5,False,"{'a': 0.4, 'e': 0.95}",20,0,-145.13243332038675,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.4, 'e': 0.94}",30,0,-87.72376374239514,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.4, 'e': 0.9299999999999999}",25,0,-102.0242310503127,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.4, 'e': 0.9199999999999999}",30,0,-181.06680183678756,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.4, 'e': 0.9099999999999999}",30,0,-131.32322944359242,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.4, 'e': 0.8999999999999999}",20,3,-48.464734352867616,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 0}",1
11,False,"{'a': 0.4, 'e': 0.8899999999999999}",20,0,-127.60062306779452,"{0: 7, 1: 7, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.4, 'e': 0.8799999999999999}",25,0,-127.11638743181867,"{0: 11, 1: 6, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.4, 'e': 0.8699999999999999}",20,0,-71.42412471788008,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.4, 'e': 0.8599999999999999}",30,0,-209.74295131782128,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
15,False,"{'a': 0.4, 'e': 0.8499999999999999}",20,0,-109.56855331072457,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.4, 'e': 0.8399999999999999}",25,0,-225.26477375073816,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 5}",0
17,False,"{'a': 0.4, 'e': 0.8299999999999998}",20,0,-51.76773901168583,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
18,False,"{'a': 0.4, 'e': 0.8199999999999998}",20,0,-93.13458527920926,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.4, 'e': 0.8099999999999998}",20,0,-53.22885711924818,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.4, 'e': 0.7999999999999998}",20,0,-56.932532337278396,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",1
21,False,"{'a': 0.4, 'e': 0.7899999999999998}",25,0,-48.33249085638278,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.4, 'e': 0.7799999999999998}",20,0,-27.858550100968337,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
23,False,"{'a': 0.4, 'e': 0.7699999999999998}",30,18,5.093064708331704,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.4, 'e': 0.7599999999999998}",20,2,-51.154266716140455,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
25,False,"{'a': 0.4, 'e': 0.7499999999999998}",20,0,-48.488325608942446,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.4, 'e': 0.7399999999999998}",20,0,-96.76860861567481,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
27,False,"{'a': 0.4, 'e': 0.7299999999999998}",20,0,-30.35103178727242,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
28,False,"{'a': 0.4, 'e': 0.7199999999999998}",35,0,-159.459648302367,"{0: 26, 1: 3, 2: 2, 3: 0, 4: 4}",0
29,False,"{'a': 0.4, 'e': 0.7099999999999997}",20,0,-72.26130219732003,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.4, 'e': 0.6999999999999997}",20,0,-16.78004299600061,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
31,False,"{'a': 0.4, 'e': 0.6899999999999997}",25,0,-50.36936953168532,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
32,False,"{'a': 0.4, 'e': 0.6799999999999997}",30,0,-187.5022057649367,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
33,False,"{'a': 0.4, 'e': 0.6699999999999997}",30,0,-135.7562349246086,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
34,False,"{'a': 0.4, 'e': 0.6599999999999997}",20,0,-54.84602728247468,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
