trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-77.30586545,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-32.39149058,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
3,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-108.1316382,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
4,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-64.61373916,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,FALSE,"{'a': 0.5, 'e': 1.0}",30,13,-40.04642905,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 0}",1
6,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-144.166067,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
7,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-104.2884385,"{0: 8, 1: 8, 2: 3, 3: 0, 4: 1}",0
8,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-152.4917768,"{0: 20, 1: 0, 2: 5, 3: 4, 4: 1}",0
9,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-94.49761529,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
10,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-113.0833257,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
11,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-119.4520135,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
12,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-199.0629449,"{0: 13, 1: 7, 2: 6, 3: 2, 4: 2}",0
13,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-220.757279,"{0: 8, 1: 6, 2: 8, 3: 0, 4: 3}",0
14,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-61.20362556,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
15,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-177.7506499,"{0: 10, 1: 3, 2: 8, 3: 3, 4: 1}",0
16,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-98.59210717,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
17,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-111.1910881,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
18,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-19.25838424,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
19,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-128.5137973,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
20,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-69.02151823,"{0: 20, 1: 7, 2: 1, 3: 2, 4: 0}",0
1,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-95.9413208,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
2,TRUE,"{'a': 0.5, 'e': 1.0}",20,6,-128.2048637,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 2}",1
3,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-134.3252563,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
4,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-54.77692516,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
5,TRUE,"{'a': 0.5, 'e': 1.0}",25,7,-47.35734057,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
6,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-159.4275917,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
7,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-117.5003669,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
8,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-121.4840271,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
9,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-116.3002322,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
10,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-179.190472,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
