trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.23094440877934,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-237.64639988858337,"{0: 13, 1: 4, 2: 9, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.28099878729103,"{0: 14, 1: 6, 2: 1, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.96521910499362,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.95386127190109,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.81293379734542,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.77465429655098,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,5,-202.2515990138008,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",1
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-216.80482489359522,"{0: 14, 1: 3, 2: 9, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.65885563456735,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.00328251546131,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,21,-36.433532713329136,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",30,18,-45.35159056001364,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.89985369022557,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,12,-82.63158558174374,"{0: 5, 1: 0, 2: 7, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-223.0457095768356,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.73657561985996,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,6,-36.363114693645635,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.87487185035526,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-210.84540889419407,"{0: 17, 1: 0, 2: 9, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-34.62255759044052,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
